Counter,Season,Game_ID,PLAYER_NAME,Team,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
786688,1997,0029600851,Aaron McKie,DET,"MAR 05, 1997",DET @ MIN,W,21,3,8,0.375,1,4,0.25,2,2,1.0,0,4,4,5,0,0,1,0,9,10.0,0
786686,1997,0029600875,Aaron McKie,DET,"MAR 08, 1997",DET @ LAC,W,18,2,5,0.4,1,2,0.5,1,2,0.5,0,2,2,0,0,0,1,0,6,-2.0,0
786693,1997,0029600783,Aaron McKie,DET,"FEB 24, 1997",DET @ ORL,L,28,3,3,1.0,3,3,1.0,4,4,1.0,0,6,6,2,1,0,1,2,13,-1.0,0
786692,1997,0029600797,Aaron McKie,DET,"FEB 26, 1997",DET vs. GSW,W,25,4,8,0.5,2,2,1.0,3,3,1.0,0,3,3,4,2,0,2,2,13,31.0,0
786691,1997,0029600809,Aaron McKie,DET,"FEB 28, 1997",DET @ BOS,W,17,1,3,0.333,1,3,0.333,1,2,0.5,0,3,3,2,1,0,1,1,4,-9.0,0
786690,1997,0029600827,Aaron McKie,DET,"MAR 02, 1997",DET vs. ATL,W,12,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,0,2,0,0,1,2,-4.0,0
786681,1997,0029600957,Aaron McKie,DET,"MAR 19, 1997",DET vs. TOR,L,15,2,2,1.0,0,0,0.0,0,0,0.0,0,1,1,2,1,0,1,0,4,-6.0,0
786682,1997,0029600940,Aaron McKie,DET,"MAR 17, 1997",DET @ CLE,L,8,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,2,0,1,0,0,-5.0,0
786683,1997,0029600931,Aaron McKie,DET,"MAR 16, 1997",DET vs. SEA,W,30,2,8,0.25,0,1,0.0,2,2,1.0,1,6,7,0,5,0,1,0,6,16.0,0
786684,1997,0029600908,Aaron McKie,DET,"MAR 13, 1997",DET @ DEN,W,17,0,3,0.0,0,1,0.0,0,0,0.0,1,2,3,3,0,0,2,1,0,2.0,0
786685,1997,0029600899,Aaron McKie,DET,"MAR 11, 1997",DET @ SEA,L,22,2,5,0.4,0,1,0.0,0,0,0.0,0,2,2,2,2,1,0,2,4,1.0,0
786687,1997,0029600867,Aaron McKie,DET,"MAR 07, 1997",DET @ UTA,L,24,3,7,0.429,1,1,1.0,0,0,0.0,0,2,2,0,1,0,2,2,7,5.0,0
786702,1997,0029600650,Aaron McKie,DET,"FEB 02, 1997",DET vs. PHX,L,19,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,4,2,0,1,3,0,5.0,0
786701,1997,0029600680,Aaron McKie,DET,"FEB 06, 1997",DET vs. HOU,W,26,5,12,0.417,0,2,0.0,2,3,0.667,1,2,3,4,1,1,2,5,12,5.0,0
786700,1997,0029600684,Aaron McKie,DET,"FEB 11, 1997",DET @ MIA,L,20,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,0.0,0
786699,1997,0029600696,Aaron McKie,DET,"FEB 12, 1997",DET vs. ORL,W,18,3,7,0.429,0,1,0.0,0,0,0.0,3,4,7,1,1,1,0,1,6,4.0,0
786694,1997,0029600774,Aaron McKie,DET,"FEB 23, 1997",DET @ WAS,W,24,5,7,0.714,1,1,1.0,5,6,0.833,0,6,6,1,0,1,1,3,16,19.0,0
786695,1997,0029600763,Aaron McKie,DET,"FEB 21, 1997",DET vs. NJN,W,24,1,5,0.2,0,1,0.0,0,0,0.0,0,3,3,2,0,1,0,1,2,2.0,0
786696,1997,0029600746,Aaron McKie,DET,"FEB 19, 1997",DET vs. WAS,W,5,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,9.0,0
786697,1997,0029600724,Aaron McKie,DET,"FEB 16, 1997",DET @ TOR,W,21,0,5,0.0,0,2,0.0,2,2,1.0,1,3,4,2,2,0,6,2,2,4.0,0
786698,1997,0029600708,Aaron McKie,DET,"FEB 14, 1997",DET @ CHH,W,24,3,5,0.6,1,1,1.0,0,0,0.0,0,1,1,4,4,0,1,3,7,11.0,0
786676,1997,0029601033,Aaron McKie,DET,"MAR 30, 1997",DET vs. PHI,L,22,4,6,0.667,0,2,0.0,2,2,1.0,1,5,6,2,3,0,1,1,10,6.0,0
786677,1997,0029601020,Aaron McKie,DET,"MAR 28, 1997",DET vs. LAC,W,19,2,3,0.667,0,0,0.0,0,0,0.0,0,4,4,1,0,0,3,3,4,9.0,0
786678,1997,0029601001,Aaron McKie,DET,"MAR 26, 1997",DET @ NYK,L,12,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,3,0,0,0,0,0,8.0,0
